station,latitude,directionns,Longitude,directionew,latDec,lonDec,Elevation
Aughton,53.33,1,2.55,-1,53.55,-2.91666666666667,56
Birmingham Eldmon,52.27,1,1.44,-1,52.45,-1.73333333333333,99
Cambridge Botanical Gardens,52.12,1,0.08,1,52.2,0.133333333333333,12
Cardington,52.06,1,0.25,-1,52.1,-0.416666666666667,70
Crawley,51.05,1,0.13,-1,51.0833333333333,-0.216666666666667,144
Finningley,53.29,1,1,-1,53.4833333333333,-1,17
Chiswick Royal Horticultural Society,51.29,1,0.16,-1,51.4833333333333,-0.266666666666667,5
Crane Court,51.31,1,0.06,-1,51.5166666666667,-0.1,10
Greenwich Observatory,51.29,1,0,-1,51.4833333333333,0,48
Kennington,51.29,1,0.07,-1,51.4833333333333,-0.116666666666667,7
Kew Syon House,51.28,1,0.19,-1,51.4666666666667,-0.316666666666667,5
Somerset House,51.31,1,0.07,-1,51.5166666666667,-0.116666666666667,12
Luddington,52.1,1,1.45,-1,52.1666666666667,-1.75,56
Rutland Lyndon Hall,52.38,1,0.4,-1,52.6333333333333,-0.666666666666667,102
Lyonshall,52.13,1,2.58,-1,52.2166666666667,-2.96666666666667,155
Macclesfield,53.16,1,2.08,-1,53.2666666666667,-2.13333333333333,143
Malvern,52.07,1,2.19,-1,52.1166666666667,-2.31666666666667,62
Oxford Radcliffe Observatory,51.46,1,1.16,-1,51.7666666666667,-1.26666666666667,63
Pershore,52.06,1,2.03,-1,52.1,-2.05,40
Preston Wynne,52.07,1,2.3,-1,52.1166666666667,-2.5,84
Preston Moor Park,53.46,1,2.42,-1,53.7666666666667,-2.7,33
Ringway Airport,53.21,1,2.16,-1,53.35,-2.26666666666667,75
Ross on Wye,51.55,1,2.35,-1,51.9166666666667,-2.58333333333333,67
Rothamsted,51.48,1,0.21,-1,51.8,-0.35,128
Shawbury,51.48,1,2.4,-1,51.8,-2.66666666666667,76
Sheffield Weston Park,52.23,1,1.29,-1,52.3833333333333,-1.48333333333333,146
Slaidburn,53.59,1,2.26,-1,53.9833333333333,-2.43333333333333,192
Squires Gate,53.46,1,3.02,-1,53.7666666666667,-3.03333333333333,10
Stonyhurst,53.51,1,2.28,-1,53.85,-2.46666666666667,115
Wittering,52.37,1,0.28,-1,52.6166666666667,-0.466666666666667,84
